,0
0,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Reported information disregarded or not applied.  The error was an Overissuance by an amount of $150.  The error was found by Variance clearly identified from case record (documentation not from an automated match) and is because of the applicants Shelter deduction and Deduction included that should not have been and occured on 202106.0  Information given above was verified by Other.  
 *** Final Calculated Benefit: $150 *** "
1,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
2,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
3,"3 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the OtherReported information disregarded or not applied.  The error was an UnderissuanceUnderissuance by an amount of $101.  The error was found by Variance clearly identified from case record (documentation not from an automated match)Variance clearly identified from case record (documentation not from an automated match) and is because of the applicants TANF. PA. or GAChild support payments received from absent parent and More income received from this source than budgetedLess income received from this source than budgeted and occured on 202110.0202007.0  Information given above was verified by From case record (verification from an automated match)Government agency or public records. not automated match.  
 *** Final Calculated Benefit: $571 *** "
4,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $20 *** "
5,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
6,"4 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Unknown.  Based on Quality Control the error made faulted the Reported information disregarded or not appliedAgency failed to verify required informationPolicy incorrectly applied.  The error was an OverissuanceOverissuanceOverissuance by an amount of $177.  The error was found by Variance clearly identified from case record (documentation not from an automated match)Variance discovered from recipient interviewVariance clearly identified from case record (documentation not from an automated match) and is because of the applicants Unit compositionShelter deductionStandard utility allowance and Ineligible person(s) includedDeduction included that should not have beenDeduction included that should not have been and occured on 202108.0202108.0202108.0  Information given above was verified by LandlordLandlordGovernment agency or public records. automated match.  
 *** Final Calculated Benefit: $658 *** "
7,"3 individual(s) listed in this SNAP application.  In the application one person is a(n) Member is ineligible noncitizen and not participating in State-funded SNAPone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Information withheld by client (case referred for Intentional Program Violation [IPV] investigationInformation withheld by client (case referred for Intentional Program Violation [IPV] investigationInformation withheld by client (case referred for Intentional Program Violation [IPV] investigationInformation withheld by client (case referred for Intentional Program Violation [IPV] investigationInformation withheld by client (case referred for Intentional Program Violation [IPV] investigation.  The error was an OverissuanceOverissuanceOverissuanceOverissuanceOverissuance by an amount of none of the variances were listed.  The error was found by Variance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interview and is because of the applicants ContributionsDeemed incomeArithmetic computationCombined gross incomeCombined net income and Unreported source of income (do not use for change in employment status)Unreported source of income (do not use for change in employment status)Benefit/allotment/eligibility incorrectly computedOtherOther and occured on 202107.0202009.0202009.0202009.0202009.0  Information given above was verified by OtherEmployer (present or former)From information provided by recipientFrom information provided by recipientFrom information provided by recipient.  
 *** Final Calculated Benefit: $20 *** "
8,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Information not reportedInformation withheld by client (case referred for Intentional Program Violation [IPV] investigationPolicy incorrectly applied.  The error was an OverissuanceOverissuanceOverissuance by an amount of $230.  The error was found by Variance discovered from recipient interviewVariance discovered from recipient interviewVariance clearly identified from case record (documentation from an automated match) and is because of the applicants Wages and salariesEarned income deductionsStandard utility allowance and Unreported source of income (do not use for change in employment status)Deduction that should have been included was notDeduction included that should not have been and occured on 202105.0202105.0202102.0  Information given above was verified by Financial institution. insurance company. or other businessEmployer (present or former)From case record (verification from an automated match).  
 *** Final Calculated Benefit: $20 *** "
9,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants Standard utility allowance and Deduction included that should not have been and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
