,0
0,1 individual(s) listed in this SNAP application.  0 people in the household over 60. 1 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 622 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 814. while the net income was: 333.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 814 and 334 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (814). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (700). supplemental security benefits (ssi) (i.e. disability benefits) (114). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (7.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
1,1 individual(s) listed in this SNAP application.  1 people in the household over 60. 0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 322 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 0. while the net income was: 0.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 0 and 0 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (0). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (554.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
2,1 individual(s) listed in this SNAP application.  0 people in the household over 60. 0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 0 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 0 in utilities. The total gross income was: 0. while the net income was: 0.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 0 and 0 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (0). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
3,3 individual(s) listed in this SNAP application.  0 people in the household over 60. 0.0 people in the household with a disability.Household is categorically eligible for SNAP through TANF categorical eligiblity..[Household is homeless] Household spends 322 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 584. while the net income was: 288.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 584 and 289 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (584). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (584). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
4,1 individual(s) listed in this SNAP application.  1 people in the household over 60. 0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 608 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 1327. while the net income was: 1117.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 1327 and 1117 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (1327). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (1327). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
5,1 individual(s) listed in this SNAP application.  0 people in the household over 60. 0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 0 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 0 in utilities. The total gross income was: 0. while the net income was: 0.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 0 and 0 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (0). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
6,4 individual(s) listed in this SNAP application.  0 people in the household over 60. 0.0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 0 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 0 in utilities. The total gross income was: 0. while the net income was: 0.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 0 and 0 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (0). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (655.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
7,3 individual(s) listed in this SNAP application.  0 people in the household over 60. 0.0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 507 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 1695. while the net income was: 1518.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 1696 and 1519 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (333). child support (0). unearned income (1695). other unearned income (0). deemed income (1362). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
8,1 individual(s) listed in this SNAP application.  0 people in the household over 60. 0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is not homeless] Household spends 0 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 0 in utilities. The total gross income was: 2762. while the net income was: 2033.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 2762 and 2032 respectively.  Income was determined by various inputs. including wages (2762). earned income (2762). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (0). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (400.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
9,1 individual(s) listed in this SNAP application.  0 people in the household over 60. 0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 0 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 0 in utilities. The total gross income was: 0. while the net income was: 0.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 0 and 0 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (0). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
